Country_Code,Country_Name,id_transaction,date_ecriture,ministere_code,ministere_nom,code_budgetaire,libelle,tiers,montant_XOF,AMOUNT_local,UNIT,AMOUNT_USD
CTB,Country B,SN-2024000054,02-03-2024,MINT,Ministere de l'Interieur,612030.0,Appui aux victimes de VBG,Nettoyage Pro Dakar,100724856,100724856.0,XOF,
CTB,Country B,SN-2024000055,25-10-2023,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611010.0,Achat de medicaments essentiels,SolutionsIT SA,38816482,38816482.0,XOF,
CTB,Country B,SN-2024000056,16-10-2023,MINT,Ministere de l'Interieur,612020.0,Depistage precoce du cancer du col,Cabinet Consulting Sahel,3242169,3242169.0,XOF,
CTB,Country B,SN-2024000057,21-02-2024,MINT,Ministere de l'Interieur,612030.0,Appui aux victimes de VBG,Transport Afrique de l'Ouest,90893112,90893112.0,XOF,
CTB,Country B,SN-2024000058,03-07-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611020.0,Achat de vaccins et intrants immunisation,Nettoyage Pro Dakar,11058510,11058510.0,XOF,
CTB,Country B,SN-2024000059,28-01-2024,MFB,Ministere des Finances et du Budget,614020.0,Achat de vehicules - ambulances,Nettoyage Pro Dakar,773888,773888.0,XOF,
CTB,Country B,SN-2024000060,22-10-2023,MEN,Ministere de l'Education Nationale,611010.0,Achat de medicaments essentiels,Fournitures Scolaires SA,3391639,3391639.0,XOF,
CTB,Country B,SN-2024000061,15-09-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611020.0,Achat de vaccins et intrants immunisation,Cliniques Reunies,49187016,49187016.0,XOF,
CTB,Country B,SN-2024000062,20-06-2024,MEN,Ministere de l'Education Nationale,610100.0,Traitements et salaires - personnel permanent,Batiment et Travaux SA,83352069,83352069.0,XOF,
CTB,Country B,SN-2024000063,01-10-2023,MINT,Ministere de l'Interieur,614010.0,Construction et rehabilitation - centres de sante,Formation & Sensibilisation SARL,252473,252473.0,XOF,
CTB,Country B,SN-2024000064,29-02-2024,MEN,Ministere de l'Education Nationale,611040.0,Reactifs et consommables de laboratoire,Impressions Modernes,2101993,2101993.0,XOF,
CTB,Country B,SN-2024000065,31-03-2024,MINT,Ministere de l'Interieur,611020.0,Achat de vaccins et intrants immunisation,Cabinet Consulting Sahel,114541308,114541308.0,XOF,
CTB,Country B,SN-2024000066,25-11-2023,MEN,Ministere de l'Education Nationale,611040.0,Reactifs et consommables de laboratoire,Cliniques Reunies,8813384,8813384.0,XOF,
CTB,Country B,SN-2024000067,19-10-2023,MINT,Ministere de l'Interieur,611025.0,Kits de tests VIH et antiretroviraux,Cabinet Consulting Sahel,44179038,44179038.0,XOF,
CTB,Country B,SN-2024000068,10-05-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",612025.0,Services de conseil SRH pour adolescents,SARL Fournitures Medicales,"26,167,853 FCFA",26167853.0,XOF,
CTB,Country B,SN-2024000069,08-06-2024,MEN,Ministere de l'Education Nationale,611025.0,Kits de tests VIH et antiretroviraux,Cabinet Consulting Sahel,13143618,13143618.0,XOF,
CTB,Country B,SN-2024000070,09-01-2024,MINT,Ministere de l'Interieur,612030.0,Appui aux victimes de VBG,Institut de Sante Publique,1797747,1797747.0,XOF,
CTB,Country B,SN-2024000071,11-03-2024,MFB,Ministere des Finances et du Budget,610100.0,Traitements et salaires - personnel permanent,Institut de Sante Publique,45826202,45826202.0,XOF,
CTB,Country B,SN-2024000072,04-06-2024,MFB,Ministere des Finances et du Budget,614010.0,Construction et rehabilitation - centres de sante,Batiment et Travaux SA,77522262,77522262.0,XOF,
CTB,Country B,SN-2024000073,15-08-2024,MFB,Ministere des Finances et du Budget,610100.0,Traitements et salaires - personnel permanent,Transport Afrique de l'Ouest,24637842,24637842.0,XOF,
CTB,Country B,SN-2024000074,06-09-2024,MFB,Ministere des Finances et du Budget,612020.0,Depistage precoce du cancer du col,Cliniques Reunies,"49837137,00",49837137.0,XOF,
CTB,Country B,SN-2024000075,17-06-2024,MINT,Ministere de l'Interieur,613010.0,Nettoyage et hygiene - formations sanitaires,Diagnostics Reunis,41850100,41850100.0,XOF,
CTB,Country B,SN-2024000076,15-04-2024,MSAS,Ministere de la Sante et de l'Action Sociale,610100.0,Traitements et salaires - personnel permanent,Bureau Moderne SARL,14240098,14240098.0,XOF,
CTB,Country B,SN-2024000077,26-05-2024,MSAS,Ministere de la Sante et de l'Action Sociale,611020.0,Achat de vaccins et intrants immunisation,Impressions Modernes,427867,427867.0,XOF,
CTB,Country B,SN-2024000078,14-07-2024,MFB,Ministere des Finances et du Budget,612020.0,Depistage precoce du cancer du col,Nettoyage Pro Dakar,1216664,1216664.0,XOF,
CTB,Country B,SN-2024000079,08-12-2023,MINT,Ministere de l'Interieur,612030.0,Appui aux victimes de VBG,Cabinet Consulting Sahel,787778,787778.0,XOF,
CTB,Country B,SN-2024000080,04-11-2023,MEN,Ministere de l'Education Nationale,612015.0,Campagnes de sensibilisation - VIH/SIDA,PharmaSante,4782109,4782109.0,XOF,
CTB,Country B,SN-2024000081,20-01-2024,MSAS,Ministere de la Sante et de l'Action Sociale,610100.0,Traitements et salaires - personnel permanent,Banque Regionale,381717,381717.0,XOF,
CTB,Country B,SN-2024000082,09-11-2023,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",613010.0,Nettoyage et hygiene - formations sanitaires,Cabinet Consulting Sahel,57331865,57331865.0,XOF,
CTB,Country B,SN-2024000083,25-01-2024,MINT,Ministere de l'Interieur,610100.0,Traitements et salaires - personnel permanent,Impressions Modernes,64343095,64343095.0,XOF,
CTB,Country B,SN-2024000084,13-12-2023,MINT,Ministere de l'Interieur,612025.0,Services de conseil SRH pour adolescents,Cliniques Reunies,405331,405331.0,XOF,
CTB,Country B,SN-2024000085,14-12-2023,MEN,Ministere de l'Education Nationale,612020.0,Depistage precoce du cancer du col,Cliniques Reunies,14551023,14551023.0,XOF,
CTB,Country B,SN-2024000086,20-10-2023,MSAS,Ministere de la Sante et de l'Action Sociale,611020.0,Achat de vaccins et intrants immunisation,Batiment et Travaux SA,31765194,31765194.0,XOF,
CTB,Country B,SN-2024000087,11-01-2024,MSAS,Ministere de la Sante et de l'Action Sociale,612020.0,Depistage precoce du cancer du col,Cabinet Consulting Sahel,"15594480,00",15594480.0,XOF,
CTB,Country B,SN-2024000088,01-09-2024,MINT,Ministere de l'Interieur,611010.0,Achat de medicaments essentiels,Bureau Moderne SARL,761955,761955.0,XOF,
CTB,Country B,SN-2024000089,06-05-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611025.0,Kits de tests VIH et antiretroviraux,Bureau Moderne SARL,1814835,1814835.0,XOF,
CTB,Country B,SN-2024000090,21-02-2024,MEN,Ministere de l'Education Nationale,611030.0,Kits obstetricaux et accouchement,PharmaSante,14463464,14463464.0,XOF,
CTB,Country B,SN-2024000091,20-01-2024,MSAS,Ministere de la Sante et de l'Action Sociale,613010.0,Nettoyage et hygiene - formations sanitaires,Fournitures Scolaires SA,4030940,4030940.0,XOF,
CTB,Country B,SN-2024000092,28-05-2024,MINT,Ministere de l'Interieur,612020.0,Depistage precoce du cancer du col,Bureau Moderne SARL,28120601,28120601.0,XOF,
CTB,Country B,SN-2024000093,21-06-2024,MSAS,Ministere de la Sante et de l'Action Sociale,612010.0,Campagnes de sensibilisation - sante maternelle,Cliniques Reunies,"2,045,488 FCFA",2045488.0,XOF,
CTB,Country B,SN-2024000094,23-12-2023,MINT,Ministere de l'Interieur,611015.0,Achat de contraceptifs et produits de planification familiale,Diagnostics Reunis,1352481,1352481.0,XOF,
CTB,Country B,SN-2024000095,05-01-2024,MINT,Ministere de l'Interieur,612010.0,Campagnes de sensibilisation - sante maternelle,Nettoyage Pro Dakar,45561356,45561356.0,XOF,
CTB,Country B,SN-2024000096,11-04-2024,MFB,Ministere des Finances et du Budget,611010.0,Achat de medicaments essentiels,Nettoyage Pro Dakar,3985521,3985521.0,XOF,
CTB,Country B,SN-2024000097,07-06-2024,MEN,Ministere de l'Education Nationale,610100.0,Traitements et salaires - personnel permanent,Diagnostics Reunis,62421849,62421849.0,XOF,
CTB,Country B,SN-2024000098,21-07-2024,MINT,Ministere de l'Interieur,611015.0,Achat de contraceptifs et produits de planification familiale,Pharma Ouest SA,"67083400,00",67083400.0,XOF,
CTB,Country B,SN-2024000099,29-02-2024,MINT,Ministere de l'Interieur,610200.0,Frais de fonctionnement,Institut de Sante Publique,"10,674,544 FCFA",10674544.0,XOF,
CTB,Country B,SN-2024000100,17-01-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611040.0,Reactifs et consommables de laboratoire,PharmaSante,2436432,2436432.0,XOF,
CTB,Country B,SN-2024000101,25-03-2024,MEN,Ministere de l'Education Nationale,611040.0,Reactifs et consommables de laboratoire,PharmaSante,302768,302768.0,XOF,
CTB,Country B,SN-2024000102,17-08-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611040.0,Reactifs et consommables de laboratoire,Fournitures Scolaires SA,42877746,42877746.0,XOF,
CTB,Country B,SN-2024000103,01-11-2023,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",612030.0,Appui aux victimes de VBG,Impressions Modernes,9699663,9699663.0,XOF,
CTB,Country B,SN-2024000104,26-07-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611030.0,Kits obstetricaux et accouchement,SARL Fournitures Medicales,43092817,43092817.0,XOF,
CTB,Country B,SN-2024000105,14-03-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611025.0,Kits de tests VIH et antiretroviraux,Batiment et Travaux SA,11414671,11414671.0,XOF,
CTB,Country B,SN-2024000106,18-05-2024,MSAS,Ministere de la Sante et de l'Action Sociale,611010.0,Achat de medicaments essentiels,Pharma Ouest SA,396419,396419.0,XOF,
CTB,Country B,SN-2024000107,31-12-2023,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611025.0,Kits de tests VIH et antiretroviraux,Cliniques Reunies,13336518,13336518.0,XOF,
CTB,Country B,SN-2024000108,30-07-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",613030.0,Imprimerie et fournitures de bureau,Banque Regionale,15702175,15702175.0,XOF,
CTB,Country B,SN-2024000109,03-03-2024,MSAS,Ministere de la Sante et de l'Action Sociale,611030.0,Kits obstetricaux et accouchement,Banque Regionale,2904482,2904482.0,XOF,
CTB,Country B,SN-2024000110,24-10-2023,MSAS,Ministere de la Sante et de l'Action Sociale,612015.0,Campagnes de sensibilisation - VIH/SIDA,Banque Regionale,1603920,1603920.0,XOF,
CTB,Country B,SN-2024000111,29-06-2024,MEN,Ministere de l'Education Nationale,614010.0,Construction et rehabilitation - centres de sante,Diagnostics Reunis,610117,610117.0,XOF,
CTB,Country B,SN-2024000112,09-03-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611010.0,Achat de medicaments essentiels,Pharma Ouest SA,558225,558225.0,XOF,
CTB,Country B,SN-2024000113,04-07-2024,MINT,Ministere de l'Interieur,611015.0,Achat de contraceptifs et produits de planification familiale,Diagnostics Reunis,41319895,41319895.0,XOF,
CTB,Country B,SN-2024000114,08-08-2024,MFB,Ministere des Finances et du Budget,614020.0,Achat de vehicules - ambulances,Formation & Sensibilisation SARL,830800,830800.0,XOF,
CTB,Country B,SN-2024000115,26-08-2024,MEN,Ministere de l'Education Nationale,614020.0,Achat de vehicules - ambulances,Diagnostics Reunis,465100,465100.0,XOF,
CTB,Country B,SN-2024000116,25-05-2024,MEN,Ministere de l'Education Nationale,613020.0,Carburants et lubrifiants,Nettoyage Pro Dakar,501400,501400.0,XOF,
CTB,Country B,SN-2024000117,07-08-2024,MFB,Ministere des Finances et du Budget,612010.0,Campagnes de sensibilisation - sante maternelle,Banque Regionale,672955,672955.0,XOF,
CTB,Country B,SN-2024000118,18-05-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",612010.0,Campagnes de sensibilisation - sante maternelle,Diagnostics Reunis,35119390,35119390.0,XOF,
CTB,Country B,SN-2024000119,20-09-2024,MSAS,Ministere de la Sante et de l'Action Sociale,611030.0,Kits obstetricaux et accouchement,Impressions Modernes,95226385,95226385.0,XOF,
CTB,Country B,SN-2024000120,05-01-2024,MFB,Ministere des Finances et du Budget,614010.0,Construction et rehabilitation - centres de sante,SARL Fournitures Medicales,35749729,35749729.0,XOF,
CTB,Country B,SN-2024000121,21-10-2023,MEN,Ministere de l'Education Nationale,611025.0,Kits de tests VIH et antiretroviraux,Banque Regionale,"3,879,763 FCFA",3879763.0,XOF,
CTB,Country B,SN-2024000122,30-05-2024,MFB,Ministere des Finances et du Budget,611015.0,Achat de contraceptifs et produits de planification familiale,SolutionsIT SA,6140264,6140264.0,XOF,
CTB,Country B,SN-2024000123,19-05-2024,MFB,Ministere des Finances et du Budget,612025.0,Services de conseil SRH pour adolescents,SARL Fournitures Medicales,931305,931305.0,XOF,
CTB,Country B,SN-2024000124,26-06-2024,MSAS,Ministere de la Sante et de l'Action Sociale,611030.0,Kits obstetricaux et accouchement,Nettoyage Pro Dakar,410017,410017.0,XOF,
CTB,Country B,SN-2024000125,29-11-2023,MFB,Ministere des Finances et du Budget,612010.0,Campagnes de sensibilisation - sante maternelle,Pharma Ouest SA,3236322,3236322.0,XOF,
CTB,Country B,SN-2024000126,07-04-2024,MFB,Ministere des Finances et du Budget,612020.0,Depistage precoce du cancer du col,Transport Afrique de l'Ouest,25593761,25593761.0,XOF,
CTB,Country B,SN-2024000127,16-01-2024,MFB,Ministere des Finances et du Budget,611020.0,Achat de vaccins et intrants immunisation,Cabinet Consulting Sahel,"742,742 FCFA",742742.0,XOF,
CTB,Country B,SN-2024000128,30-04-2024,MFB,Ministere des Finances et du Budget,612015.0,Campagnes de sensibilisation - VIH/SIDA,Pharma Ouest SA,81909233,81909233.0,XOF,
CTB,Country B,SN-2024000129,16-12-2023,MFB,Ministere des Finances et du Budget,611015.0,Achat de contraceptifs et produits de planification familiale,PharmaSante,741534,741534.0,XOF,
CTB,Country B,SN-2024000130,17-05-2024,MSAS,Ministere de la Sante et de l'Action Sociale,614010.0,Construction et rehabilitation - centres de sante,Banque Regionale,2624354,2624354.0,XOF,
CTB,Country B,SN-2024000131,12-02-2024,MINT,Ministere de l'Interieur,612025.0,Services de conseil SRH pour adolescents,Cabinet Consulting Sahel,58119942,58119942.0,XOF,
CTB,Country B,SN-2024000132,15-05-2024,MFB,Ministere des Finances et du Budget,614010.0,Construction et rehabilitation - centres de sante,SolutionsIT SA,828454,828454.0,XOF,
CTB,Country B,SN-2024000133,28-09-2024,MINT,Ministere de l'Interieur,613010.0,Nettoyage et hygiene - formations sanitaires,Cliniques Reunies,54925668,54925668.0,XOF,
CTB,Country B,SN-2024000134,16-03-2024,MEN,Ministere de l'Education Nationale,612030.0,Appui aux victimes de VBG,Nettoyage Pro Dakar,28522654,28522654.0,XOF,
CTB,Country B,SN-2024000135,28-04-2024,MSAS,Ministere de la Sante et de l'Action Sociale,613030.0,Imprimerie et fournitures de bureau,Transport Afrique de l'Ouest,41424511,41424511.0,XOF,
CTB,Country B,SN-2024000136,13-12-2023,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",613030.0,Imprimerie et fournitures de bureau,Cabinet Consulting Sahel,17513198,17513198.0,XOF,
CTB,Country B,SN-2024000137,20-12-2023,MEN,Ministere de l'Education Nationale,612015.0,Campagnes de sensibilisation - VIH/SIDA,Diagnostics Reunis,8525060,8525060.0,XOF,
CTB,Country B,SN-2024000138,11-08-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",612015.0,Campagnes de sensibilisation - VIH/SIDA,SolutionsIT SA,914485,914485.0,XOF,
CTB,Country B,SN-2024000139,27-12-2023,MFB,Ministere des Finances et du Budget,611010.0,Achat de medicaments essentiels,Fournitures Scolaires SA,77909907,77909907.0,XOF,
CTB,Country B,SN-2024000140,12-08-2024,MSAS,Ministere de la Sante et de l'Action Sociale,611010.0,Achat de medicaments essentiels,Formation & Sensibilisation SARL,2132533,2132533.0,XOF,
CTB,Country B,SN-2024000141,27-11-2023,MSAS,Ministere de la Sante et de l'Action Sociale,612030.0,Appui aux victimes de VBG,Nettoyage Pro Dakar,36668982,36668982.0,XOF,
CTB,Country B,SN-2024000142,20-07-2024,MINT,Ministere de l'Interieur,611025.0,Kits de tests VIH et antiretroviraux,Pharma Ouest SA,"19,387,593 FCFA",19387593.0,XOF,
CTB,Country B,SN-2024000143,21-04-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",612015.0,Campagnes de sensibilisation - VIH/SIDA,Transport Afrique de l'Ouest,67886867,67886867.0,XOF,
CTB,Country B,SN-2024000144,02-12-2023,MFB,Ministere des Finances et du Budget,611040.0,Reactifs et consommables de laboratoire,Fournitures Scolaires SA,36019092,36019092.0,XOF,
CTB,Country B,SN-2024000145,21-08-2024,MSAS,Ministere de la Sante et de l'Action Sociale,611030.0,Kits obstetricaux et accouchement,Impressions Modernes,334531,334531.0,XOF,
CTB,Country B,SN-2024000146,21-05-2024,MFFAS,"Ministere de la Femme, de la Famille et des Affaires Sociales",611025.0,Kits de tests VIH et antiretroviraux,Cabinet Consulting Sahel,6460876,6460876.0,XOF,
CTB,Country B,SN-2024000147,04-09-2024,MFB,Ministere des Finances et du Budget,612020.0,Depistage precoce du cancer du col,Formation & Sensibilisation SARL,2333997,2333997.0,XOF,
